ibes_ticker,oftic,cusip,period_end,statpers,measure,fpi,medest,meanest,numest
COTY,COTY,22207020,2013-06-30,2013-07-18,EPS,6,-0.01,-0.01,2.0
COTY,COTY,22207020,2013-06-30,2013-08-15,EPS,6,0.02,0.01,9.0
COTY,COTY,22207020,2013-09-30,2013-09-19,EPS,6,0.29,0.29,9.0
COTY,COTY,22207020,2013-09-30,2013-10-17,EPS,6,0.29,0.29,10.0
COTY,COTY,22207020,2013-12-31,2013-11-14,EPS,6,0.31,0.31,10.0
COTY,COTY,22207020,2013-12-31,2013-12-19,EPS,6,0.3,0.31,11.0
COTY,COTY,22207020,2013-12-31,2014-01-16,EPS,6,0.3,0.3,12.0
COTY,COTY,22207020,2014-03-31,2014-02-20,EPS,6,0.1,0.11,12.0
COTY,COTY,22207020,2014-03-31,2014-03-20,EPS,6,0.09,0.09,12.0
COTY,COTY,22207020,2014-03-31,2014-04-17,EPS,6,0.09,0.09,12.0
COTY,COTY,22207020,2014-06-30,2014-05-15,EPS,6,0.05,0.06,12.0
COTY,COTY,22207020,2014-06-30,2014-06-19,EPS,6,0.04,0.05,12.0
COTY,COTY,22207020,2014-06-30,2014-07-17,EPS,6,0.05,0.05,13.0
COTY,COTY,22207020,2014-06-30,2014-08-14,EPS,6,0.05,0.05,13.0
COTY,COTY,22207020,2014-09-30,2014-09-18,EPS,6,0.3,0.3,13.0
COTY,COTY,22207020,2014-09-30,2014-10-16,EPS,6,0.28,0.28,13.0
COTY,COTY,22207020,2014-12-31,2014-11-20,EPS,6,0.33,0.33,14.0
COTY,COTY,22207020,2014-12-31,2014-12-18,EPS,6,0.33,0.33,15.0
COTY,COTY,22207020,2014-12-31,2015-01-15,EPS,6,0.32,0.32,15.0
COTY,COTY,22207020,2015-03-31,2015-02-19,EPS,6,0.12,0.13,15.0
COTY,COTY,22207020,2015-03-31,2015-03-19,EPS,6,0.12,0.13,15.0
COTY,COTY,22207020,2015-03-31,2015-04-16,EPS,6,0.12,0.12,15.0
COTY,COTY,22207020,2015-06-30,2015-05-14,EPS,6,0.06,0.06,12.0
COTY,COTY,22207020,2015-06-30,2015-06-18,EPS,6,0.06,0.06,12.0
COTY,COTY,22207020,2015-06-30,2015-07-16,EPS,6,0.06,0.06,10.0
COTY,COTY,22207020,2015-09-30,2015-08-20,EPS,6,0.29,0.3,12.0
COTY,COTY,22207020,2015-09-30,2015-09-17,EPS,6,0.29,0.3,12.0
COTY,COTY,22207020,2015-09-30,2015-10-15,EPS,6,0.29,0.29,12.0
COTY,COTY,22207020,2015-12-31,2015-11-19,EPS,6,0.34,0.34,10.0
COTY,COTY,22207020,2015-12-31,2015-12-17,EPS,6,0.34,0.34,12.0
COTY,COTY,22207020,2015-12-31,2016-01-14,EPS,6,0.34,0.34,12.0
COTY,COTY,22207020,2016-03-31,2016-02-18,EPS,6,0.12,0.12,13.0
COTY,COTY,22207020,2016-03-31,2016-03-17,EPS,6,0.12,0.12,13.0
COTY,COTY,22207020,2016-03-31,2016-04-14,EPS,6,0.12,0.12,13.0
